hometeam	fthg
Morecambe	2.25
Colchester	1.95
Bournemouth	1.8823529411764706
Aston Villa	1.8823529411764706
York	1.85
Chesterfield	1.8095238095238095
Crewe	1.7619047619047619
Shrewsbury	1.7
Milton Keynes Dons	1.7
Notts County	1.6666666666666667
