hometeam	fthg
Man City	2.4705882352941178
Hull	2.05
Southampton	2.0
Accrington	2.0
Tottenham	1.9411764705882353
Peterboro	1.9
Sheffield Weds	1.9
Liverpool	1.8823529411764706
Everton	1.875
Brighton	1.8095238095238095
